,maxx,i,j,q,orders_long,orders_short,alpha
885,-0.5245023034078428,7,26,12,18,17,-9.178790309637249
7437,-1.2242762306763486,24,31,9,5,10,-9.182071730072614
3681,-0.7651916562515161,14,33,15,13,11,-9.182299875018193
10774,-1.1478607663819864,33,37,2,6,10,-9.182886131055891
6283,-1.6696272015091378,21,30,14,8,3,-9.182949608300257
8694,-1.3121583991450443,27,37,12,5,9,-9.18510879401531
12313,-2.6256535462411406,38,33,2,4,3,-9.189787411843993
3115,-1.5327941889469603,13,23,19,8,4,-9.196765133681762
2892,-0.76706287859675,12,32,5,12,12,-9.204754543161
352,-0.2747854344961475,5,38,11,34,33,-9.205312055620942
5995,-1.2280235065537326,20,35,11,5,10,-9.210176299152995
10968,-2.632469302713511,34,30,6,4,3,-9.21364255949729
3890,-1.6757073184222002,15,24,15,7,4,-9.216390251322101
8398,-9.217082622080031,27,22,1,1,1,-9.217082622080031
2054,-0.7092663492419411,10,28,3,13,13,-9.220462540145235
765,-0.5588361908311584,7,20,6,16,17,-9.220797148714114
4749,-1.3172572097115345,17,29,19,10,4,-9.220800467980741
9392,-1.3176972248940102,29,37,7,6,8,-9.223880574258072
8894,-1.5374003671694527,28,30,3,7,5,-9.224402203016716
10096,-1.318050839689864,31,36,8,5,9,-9.226355877829048
9698,-1.4217024182161813,30,34,9,4,9,-9.241065718405178
5597,-1.3205667713276685,19,34,12,5,9,-9.24396739929368
483,-0.48661700727649176,6,25,9,20,18,-9.245723138253343
1832,-0.47426879550680756,9,36,9,24,15,-9.248241512382748
8633,-1.6818682892696148,27,34,8,5,6,-9.250275590982882
10459,-1.68277294755463,32,37,10,5,6,-9.255251211550465
9520,-9.256951297371868,30,25,2,1,1,-9.256951297371868
3870,-1.42428266851463,15,23,14,8,5,-9.257837345345095
10078,-1.4242861006009455,31,35,9,5,8,-9.257859653906145
6159,-2.0599419139039115,21,24,4,5,4,-9.269738612567602
9013,-1.6856811134955276,28,36,8,4,7,-9.271246124225401
5738,-2.650201142410081,20,22,1,3,4,-9.275703998435283
2520,-0.6626602479757395,11,32,13,15,13,-9.277243471660354
11083,-1.2370288314276328,34,36,7,7,8,-9.277716235707246
6166,-2.062172154298473,21,24,11,5,4,-9.279774694343129
7776,-1.8561641782280598,25,29,6,5,5,-9.2808208911403
12433,-1.4282721631640398,38,39,8,7,6,-9.283769060566259
2690,-1.5475117926919586,12,21,12,8,4,-9.285070756151752
7814,-1.6885444505057325,25,31,6,5,6,-9.28699447778153
2538,-0.6193132991837602,11,33,12,17,13,-9.289699487756403
3097,-1.5495040685910446,13,23,1,8,4,-9.297024411546268
8322,-1.3293697063702914,26,38,1,6,8,-9.30558794459204
7416,-1.5521283025400412,24,30,7,5,7,-9.312769815240248
1415,-0.4434735894705266,8,34,10,25,17,-9.312945378881059
2124,-0.7450971362223462,10,31,16,12,13,-9.313714202779327
