,maxx,i,j,z1,z2,orders_long,orders_short,alpha
2733,2.4549937825683066,0.25,0.25,0.030000000000000002,0.02,8,36,54.009863216502744
1129,1.1476630619859465,0.1,0.5,0.034999999999999996,0.01,25,69,53.94016391333948
1286,1.583565151974748,0.15000000000000002,0.2,0.005,0.034999999999999996,53,15,53.841215167141435
664,2.9839908903681716,0.1,0.15000000000000002,0.034999999999999996,0.030000000000000002,25,11,53.71183602662709
3091,1.1069515446703553,0.25,0.5,0.01,0.005,17,80,53.68714991651223
1303,1.4504404009025413,0.15000000000000002,0.2,0.02,0.005,34,40,53.666294833394026
366,1.1402493488412206,0.05,0.4,0.034999999999999996,0.01,27,67,53.59171939553737
1120,1.0718334903083695,0.1,0.5,0.030000000000000002,0.01,31,69,53.591674515418475
2123,1.3919914513577583,0.2,0.35000000000000003,0.005,0.02,31,46,53.59167087727369
350,1.2454064594583676,0.05,0.4,0.025,0.02,39,47,53.552477756709806
2880,3.6896759683539706,0.25,0.35000000000000003,0.02,0.04,10,19,53.50030154113257
228,1.1982461163808273,0.05,0.3,0.034999999999999996,0.01,27,62,53.321952178946816
1756,0.9859536701509904,0.15000000000000002,0.55,0.030000000000000002,0.005,25,83,53.241498188153486
894,1.297573209314321,0.1,0.35000000000000003,0.025,0.02,36,46,53.20050158188717
984,1.1561700315869579,0.1,0.4,0.034999999999999996,0.01,25,67,53.183821453000064
1579,1.9323164096215186,0.15000000000000002,0.4,0.034999999999999996,0.025,19,36,53.13870126459176
2086,1.713614489253683,0.2,0.3,0.030000000000000002,0.015,12,50,53.12204916686417
1541,1.2495163726358847,0.15000000000000002,0.4,0.01,0.025,49,36,53.1044458370251
202,1.11668088993772,0.05,0.3,0.02,0.015,45,50,53.0423422720417
1113,1.2479055204886689,0.1,0.5,0.025,0.02,36,49,53.035984620768424
1222,1.4251958745259765,0.1,0.55,0.045,0.02,24,50,52.732247357461134
2096,1.948745083485549,0.2,0.3,0.034999999999999996,0.02,10,44,52.616117254109824
1307,2.139859236061877,0.15000000000000002,0.2,0.02,0.034999999999999996,34,15,52.42655128351599
128,1.7153035512640282,0.05,0.2,0.045,0.01,25,36,52.31675831355286
2129,1.0250276580120226,0.2,0.35000000000000003,0.01,0.005,27,75,52.27641055861315
2413,1.604720627894948,0.2,0.5,0.034999999999999996,0.015,10,55,52.15342040658581
1004,1.4687819599894503,0.1,0.4,0.045,0.02,24,47,52.141759579625486
652,1.736259621133674,0.1,0.15000000000000002,0.02,0.015,42,18,52.087788634010224
2204,1.3350741342460941,0.2,0.4,0.005,0.02,31,47,52.06789123559767
1510,1.1068531017305925,0.15000000000000002,0.35000000000000003,0.034999999999999996,0.005,19,75,52.022095781337846
2158,1.5756046866674251,0.2,0.35000000000000003,0.025,0.015,14,52,51.99495466002503
177,1.2970285457584316,0.05,0.25,0.045,0.005,25,55,51.88114183033726
1260,5.45794973707833,0.15000000000000002,0.1,0.045,0.030000000000000002,18,1,51.85052250224413
3008,1.5018725469393228,0.25,0.45,0.005,0.02,21,48,51.814602869406635
2609,6.0908446528949804,0.25,0.15000000000000002,0.045,0.025,5,12,51.77217954960734
975,1.055333599891044,0.1,0.4,0.030000000000000002,0.01,31,67,51.711346394661156
829,1.2766760728937157,0.1,0.3,0.030000000000000002,0.015,31,50,51.70538095219548
3164,1.4547050400146504,0.25,0.55,0.005,0.02,21,50,51.64202892052009
2210,0.9820750947836344,0.2,0.4,0.01,0.005,27,78,51.55894247614081
496,1.1716956021406861,0.05,0.5,0.030000000000000002,0.015,33,55,51.55460649419019
828,1.108066895243741,0.1,0.3,0.030000000000000002,0.01,31,62,51.52511062883395
910,1.1449529655706836,0.1,0.35000000000000003,0.034999999999999996,0.01,25,65,51.52288345068076
3007,1.372965671945371,0.25,0.45,0.005,0.015,21,54,51.48621269795141
557,1.1550701086403619,0.05,0.55,0.025,0.02,39,50,51.400619834496105
262,1.2521102716774313,0.05,0.35000000000000003,0.01,0.04,63,19,51.336521138774685
2005,1.6538130394026067,0.2,0.25,0.030000000000000002,0.01,12,50,51.26820422148081
731,1.7015926962251515,0.1,0.2,0.045,0.01,24,36,51.047780886754545
44,1.4575675544480051,0.05,0.15000000000000002,0.01,0.04,63,7,51.01486440568018
2635,2.609422558254857,0.25,0.2,0.015,0.02,12,27,50.88373988596971
2049,1.1427460389759387,0.2,0.3,0.01,0.01,27,62,50.85219873442927
2447,0.9234376858968415,0.2,0.55,0.01,0.005,27,83,50.78907272432628
564,0.9854368772880151,0.05,0.55,0.030000000000000002,0.01,33,70,50.74999918033278
1577,1.0432450937096753,0.15000000000000002,0.4,0.034999999999999996,0.005,19,78,50.59738704491925
477,0.8862240900643119,0.05,0.5,0.02,0.01,45,69,50.51477313366578
2778,1.654728182072735,0.25,0.3,0.01,0.02,17,44,50.46920955321842
650,1.5526944581251791,0.1,0.15000000000000002,0.02,0.005,42,23,50.46256988906832
901,1.047763911558824,0.1,0.35000000000000003,0.030000000000000002,0.01,31,65,50.292667754823555
837,1.15242333647134,0.1,0.3,0.034999999999999996,0.01,25,62,50.130415136503295
106,1.3713049779803403,0.05,0.2,0.030000000000000002,0.005,33,40,50.052631696282425
695,1.280486907471732,0.1,0.2,0.02,0.01,42,36,49.93898939139755
1287,1.5122088728265517,0.15000000000000002,0.2,0.005,0.04,53,13,49.9028928032762
3084,1.3128285202883985,0.25,0.5,0.005,0.015,21,55,49.88748377095914
2360,1.2460185381322844,0.2,0.5,0.005,0.02,31,49,49.84074152529138
1438,1.1191215398484344,0.15000000000000002,0.3,0.034999999999999996,0.005,19,70,49.80090852325533
271,1.02625427978285,0.05,0.35000000000000003,0.02,0.015,45,52,49.773332569468224
