,close_time,o,h,l,c,v
268,2018-05-12 23:59:59.999,676.96,690.2,633.2,684.11,166801.07487
269,2018-05-13 23:59:59.999,684.56,742.0,666.31,729.08,136022.39207
270,2018-05-14 23:59:59.999,729.08,743.9,686.0,727.49,183466.9224
271,2018-05-15 23:59:59.999,727.49,740.0,695.0,704.91,127191.21863
272,2018-05-16 23:59:59.999,704.91,712.84,673.52,706.29,118902.46895
273,2018-05-17 23:59:59.999,706.8,719.25,662.0,667.62,106723.38375
274,2018-05-18 23:59:59.999,667.62,694.9,656.0,692.6,106541.66307
275,2018-05-19 23:59:59.999,693.26,717.8,682.31,697.0,88828.85641
276,2018-05-20 23:59:59.999,697.0,729.88,688.4,716.16,86004.7409
277,2018-05-21 23:59:59.999,716.16,720.46,688.0,696.7,96085.15451
278,2018-05-22 23:59:59.999,697.1,699.6,637.32,640.99,107059.5769
279,2018-05-23 23:59:59.999,640.86,669.0,560.0,577.19,257099.77096
280,2018-05-24 23:59:59.999,577.19,612.1,550.0,602.18,195854.62497
281,2018-05-25 23:59:59.999,602.08,617.46,568.7,585.55,118076.26273
282,2018-05-26 23:59:59.999,585.56,607.62,578.32,586.0,77654.12532
283,2018-05-27 23:59:59.999,586.03,592.0,557.43,570.4,97097.26713
284,2018-05-28 23:59:59.999,570.81,576.2,506.11,511.5,153197.83278
285,2018-05-29 23:59:59.999,511.5,573.43,510.0,567.36,189082.83788
286,2018-05-30 23:59:59.999,567.09,585.83,541.2,557.19,122132.2701
287,2018-05-31 23:59:59.999,557.87,586.73,552.98,577.81,100101.52276
288,2018-06-01 23:59:59.999,577.81,590.26,564.93,579.0,83840.84162
289,2018-06-02 23:59:59.999,579.0,599.17,572.9,590.85,80258.14719
290,2018-06-03 23:59:59.999,590.85,628.81,590.1,619.66,84123.33235
291,2018-06-04 23:59:59.999,619.66,625.47,580.15,591.02,96339.44507
292,2018-06-05 23:59:59.999,591.02,614.0,570.36,609.05,89053.74351
293,2018-06-06 23:59:59.999,609.29,613.35,593.4,607.4,70152.92117
294,2018-06-07 23:59:59.999,606.68,618.0,598.24,605.16,60174.1888
295,2018-06-08 23:59:59.999,605.2,608.45,593.33,598.68,49228.00755
296,2018-06-09 23:59:59.999,599.29,608.97,591.0,592.87,38908.0653
297,2018-06-10 23:59:59.999,592.44,592.87,501.13,524.11,190350.58429
298,2018-06-11 23:59:59.999,524.64,535.51,508.66,531.69,145813.07819
299,2018-06-12 23:59:59.999,531.08,538.88,482.0,493.0,158223.14812
300,2018-06-13 23:59:59.999,493.0,501.97,449.06,475.47,181842.19417
301,2018-06-14 23:59:59.999,475.47,529.0,460.0,519.29,206093.0733
302,2018-06-15 23:59:59.999,519.3,521.0,481.62,487.48,160532.53607
